Date,PortNumber,ServiceName,RequestedBy,ChangeDescription,ExecutionGrp

Mon Jul 4 10:08:00 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Added the new object(Headers features) in BKIC service getVehicleQutationData method
Tue Dec 6 10:34:06 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Error Handling and code cleaning
Tue Dec 6 11:24:00 AST 2016 , 7848, NGI_VivaPrepaidTopup, Akram, New Service exposed to Portal
Tue Dec 6 12:46:34 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, bux fix
Tue Dec 6 16:18:43 AST 2016 , 7803, NGI-eRegisterService_HTTP, Uma, Rebuilt the message set with the latest ministry wsdl
Tue Dec 6 16:20:35 AST 2016 , 7848, NGI-eRegisterServiceBPEL_HTTPS, Thiyan, Backend WSDL updated. No changes in NGI WSDL
Tue Dec 6 16:21:35 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS, Thiyan, Backend WSDL updated. No changes in NGI WSDL
Tue Dec 6 16:23:22 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Backend WSDL updated, 4 parameters added in VISA response, 1 parameter in Notification response, changed bytearray type to string for pageImage in page Object, 1 parameter in BahrainMissions response. NGI WSDL changed to include these parameters
Wed Dec 7 08:46:03 AST 2016 , 7848, NGI_SCAPPOINTMENT_SERVICE, Akram, Fix nationality code in ValidateIDNumber
Wed Dec 7 08:57:26 AST 2016 , 7848, NGI-AccreditationService_BPEL_HTTPS, Uma, Added and implemented new field .CertKeyValue. in the response objects of FetchRequestStatusDetails & GetAllMinisterialDecreeDetails methods
Wed Dec 7 09:00:29 AST 2016 , 7803, NGI-MOEAccredationService_DMZ_HTTP, Uma, Added and implemented new field .CertKeyValue. in the response objects of FetchRequestStatusDetails & GetAllMinisterialDecreeDetails methods
Wed Dec 7 09:12:58 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, bux fix
Wed Dec 7 10:28:29 AST 2016 , 7848, NGI_SCAPPOINTMENT_SERVICE, Akram, Fix nationality code in ValidateIDNumber
Wed Dec 7 12:46:03 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Added LastUpdate in GetAnnouncementResponse object
Wed Dec 7 15:19:19 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, UpdateUserResponse status code assignment issues fixed
Wed Dec 7 15:47:03 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, UpdateUserResponse status code assignment issues fixed
Wed Dec 7 15:48:14 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, UpdateUser Email parameter not set properly has been fixed
Thu Dec 8 08:19:44 AST 2016 , 7848, NGI_SCAPPOINTMENT_SERVICE, Akram, Fix nationality code in ValidateIDNumber
Thu Dec 8 15:36:47 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Register travel & Update Travel migrated from WPS to WMB
Thu Dec 8 16:42:46 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, UpdateUser Email parameter not set properly has been fixed
Thu Dec 8 16:43:44 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, UpdateUser Email parameter not set properly has been fixed
Thu Dec 8 16:51:15 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, UpdateUser Email parameter not set properly has been fixed
Thu Dec 8 16:54:37 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, UpdateUser Email parameter not set properly has been fixed
Sun Dec 11 15:06:49 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Update Registered travel bug fixed
Sun Dec 11 16:06:34 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Arabic email content bug fixed
Mon Dec 12 10:00:36 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Error code 209 migrated from WPS for method GetAnnouncements
Tue Dec 13 10:42:14 AST 2016 , 7846, NGI_EFTS_Integration_Service, Uma, Added and implemented new method .LKUPPlateTypes..
Tue Dec 13 12:52:26 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial Draft
Tue Dec 13 16:00:05 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Code cleaning
Tue Dec 13 16:01:07 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS, Thiyan, Code cleaning
Tue Dec 13 16:02:52 AST 2016 , 7848, NGI-eRegisterServiceBPEL_HTTPS, Thiyan, Code cleaning
Tue Dec 13 16:13:59 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft . changes for smart card status enquiry
Tue Dec 13 16:30:41 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Too large response are not logged to save space and log4j congestion
Tue Dec 13 16:36:31 AST 2016 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Code cleaning
Wed Dec 14 09:41:14 AST 2016 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Code cleaning
Wed Dec 14 09:53:07 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Too large response are not logged to save space and log4j congestion
Wed Dec 14 10:25:33 AST 2016 , 7848, NGI_TranscriptsAndLettersUOBService, Venkat, 1.Added the new error codes. 2.Added the VerifyTrascriptsAndLetters object in submit method
Wed Dec 14 10:42:35 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, SOAP input node name changed as per properties file. CIO url property added in .properties file
Wed Dec 14 10:46:48 AST 2016 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, SOAP input node name changed as per properties file. CIO url property added in .properties file
Wed Dec 14 11:04:11 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, SOAP input node name changed as per properties file. CIO url property added in .properties file
Wed Dec 14 11:05:34 AST 2016 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, SOAP input node name changed as per properties file. CIO url property added in .properties file
Wed Dec 14 14:43:20 AST 2016 , 7848, NGI_TranscriptsAndLettersUOBService, Venkat, 1.Removed the Payment and Address object, if delivery type is .Email..
Thu Dec 15 11:12:59 AST 2016 , 7848, NGI_SCAPPOINTMENT_SERVICE, Sudhakar, Initial draft . added new fields .ApplicationTypeAr. & .ApplicationTypeEn. in SmartCardApplicationStatusEnquiry response
Thu Dec 15 11:13:51 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft . added new fields .ApplicationTypeAr. & .ApplicationTypeEn. in SmartCardApplicationStatusEnquiry response
Thu Dec 15 13:01:00 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft .SmartCardApplicationStatusEnquiry response .bug fix
Thu Dec 15 13:29:44 AST 2016 , 7848, NGI-EskanBankService, Akram, bakcend wsdl updated
Thu Dec 15 16:07:14 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, New service ezposed to Portal
Thu Dec 15 16:11:44 AST 2016 , 7848, NGI_TranscriptsAndLettersUOBService, Venkat, 1.Added the MOT service and Shipping Cost Calculator service 
Sat Dec 17 11:18:04 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft . backend url change .bug fix
Sat Dec 17 11:19:00 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft . backend url change .bug fix
Sat Dec 17 11:21:06 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft . backend url change .bug fix
Sat Dec 17 11:24:41 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft . backend url change .bug fix
Sat Dec 17 13:03:39 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft . SmartCardApplicationStatusEnquiryservice response updated with new fields
Sat Dec 17 13:04:17 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft . SmartCardApplicationStatusEnquiryservice response updated with new fields
Sat Dec 17 13:20:33 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft . SmartCardApplicationStatusEnquiryservice response updated with new fields
Sun Dec 18 11:34:18 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, New service exposed to Portal
Sun Dec 18 12:57:05 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, New service exposed to Portal
Sun Dec 18 15:30:55 AST 2016 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Logs will now include txn id and respective ministry operation name respectively
Sun Dec 18 15:34:29 AST 2016 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Logs will now include txn id and respective ministry operation name respectively
Sun Dec 18 15:43:11 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, New service exposed to Portal
Tue Dec 20 09:29:40 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Logs will now include txn id and respective ministry operation name respectively
Tue Dec 20 09:40:29 AST 2016 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Logs will now include txn id and respective ministry operation name respectively
Tue Dec 20 10:23:54 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, New service exposed to Portal
Tue Dec 20 10:36:18 AST 2016 , 7854, CSBJobPosting, Thiyan, New service exposed to MOBILE
Tue Dec 20 11:09:22 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Exception logging issue fixed for GetLegalizationContent
Tue Dec 20 12:57:13 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, New service exposed to Portal
Tue Dec 20 13:44:21 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft . backend has added new fields in status enquiry
Tue Dec 20 15:46:13 AST 2016 , 7848, NGI_TranscriptsAndLettersUOBService, Venkat, 1.Remove the LKUPAddressType and updated the English/Arabic languages 
Tue Dec 20 16:28:35 AST 2016 , 7848, NGI_DLR_Service, Sudhakar, Bug fix . invalid  values 2  for LKUPLicenseCategoryCode
Tue Dec 20 16:30:02 AST 2016 , 7856, NGI_DLR_Service, Sudhakar, Bug fix . invalid  values 2  for LKUPLicenseCategoryCode
Tue Dec 20 16:30:43 AST 2016 , 7854, NGI_DLR_Service, Sudhakar, Bug fix . invalid  values 2  for LKUPLicenseCategoryCode
Wed Dec 21 09:17:52 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Updated the logs
Wed Dec 21 10:41:59 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, Mapped .ApplicantTypeId. element to .ApplicantDescriptionTypeId. in SubmitApplicationDetails method request object
Sun Dec 25 10:32:07 AST 2016 , 7856, NGI_TravelBanService, Venkat, Removed the all name parameter values in response message
Sun Dec 25 11:38:45 AST 2016 , 7856, NGI_TravelBanService, Venkat, Updated Channel ID
Sun Dec 25 11:44:03 AST 2016 , 7848, NGI_TranscriptsAndLettersUOBService, Venkat, 1.Updated the MOT service. 2.If we get the ExpiryDate and CreatedDate as empty from backend, sending the same value to portal with out validation
Sun Dec 25 12:52:30 AST 2016 , 7854, CSBJobPosting, Thiyan, Added UpdateJob method. Added exception handler compute node
Sun Dec 25 14:45:35 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft .added new status code. 005 . Postal fee not paid. for status enquiry
Sun Dec 25 15:21:54 AST 2016 , 7854, CSBJobPosting, Thiyan, Updatejob method bug fixed. Date format bug fixed
Sun Dec 25 15:24:45 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft .changed all error codes SCAP_xxxx to SCAP-xxxx
Sun Dec 25 15:41:56 AST 2016 , 7848, NGI_TranscriptsAndLettersUOBService, Venkat, 1.Updated the ReceiptNumber and VerificationID En/Ar parameter values in backend
Sun Dec 25 16:30:14 AST 2016 , 7856, NGI_IssueOfBirthCertificateService, Venkat, Removed the some of the parameters in child, childFather, childMother objects in GetBNF response method
Sun Dec 25 16:32:26 AST 2016 , 7856, NGI_CriminalOrderService, Uma, Filtered the request/response elements as per the excel sheet provided by KIOSK
Sun Dec 25 16:34:15 AST 2016 , 7856, NGI-EWABPELWrapper, Uma, Filtered the request/response elements as per the excel sheet provided by KIOSK
Sun Dec 25 16:36:47 AST 2016 , 7854, CSBJobPosting, Thiyan, New method added GetJobDetails. LastUpdated(Attachfile) and JobID(getappliedjobslist) removed from respective methods
Mon Dec 26 09:24:36 AST 2016 , 7848, NGI_SubmitPostalTracking, Sudhakar, UOB-MOT integration for local and international
Mon Dec 26 09:25:35 AST 2016 , 7803, NGI_SubmitPostalTracking, Sudhakar, UOB-MOT integration for local and international
Mon Dec 26 09:37:28 AST 2016 , 7848, NGI_SCAPPOINTMENT_SERVICE, Akram, Fix looping issue in SearchForClearingAgentAppointmentByCPR RESPONSE
Mon Dec 26 11:32:07 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, Added new field .CaseYear. in .ValidateCPRAndCaseNo. method request object
Mon Dec 26 12:03:53 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, Added new field .CaseYear. in .ValidateCPRAndCaseNo. method request object
Mon Dec 26 12:20:29 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft .backend has changed the error desc for error code .065..
Mon Dec 26 15:14:46 AST 2016 , 7854, CSBJobPosting, Thiyan, Attachment call implemented in GetJobDetails
Mon Dec 26 16:40:16 AST 2016 , 7848, NGI_TranscriptsAndLettersUOBService, Venkat, 1.Backend added the new parameter . ReceiptMethodID in ApplicationSummary method
Tue Dec 27 09:13:03 AST 2016 , 7854, CSBJobPosting, Thiyan, Error code handled for Attachment call implemented in GetJobDetails
Tue Dec 27 09:24:08 AST 2016 , 7854, CSBJobPosting, Thiyan, Incorrect filecontent mapping fixed
Tue Dec 27 10:03:10 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, Updated ministry message set to include new field .UserId. in .GetCaseStatusDetails. method request object
Tue Dec 27 10:39:45 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft .WSDL updated with new look up .LKUPNationalityWithOutGCC. 
Tue Dec 27 12:12:01 AST 2016 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Date format issue in Emails is fixed. Corrected to dd/MM/yyyy
Tue Dec 27 12:13:28 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Date format issue in Emails is fixed. Corrected to dd/MM/yyyy
Tue Dec 27 13:25:16 AST 2016 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft .look up .LKUPBranchesRequest. changes , displaying based on the delivery type .L. OR .K.
Tue Dec 27 13:27:35 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Date format issue in Emails is fixed. Corrected to dd/MM/yyyy
Tue Dec 27 16:01:45 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, Handled backend date format in fetch methods resposne objects
Wed Dec 28 08:28:50 AST 2016 , 7848, NGI_TranscriptsAndLettersUOBService, Venkat, 1.Updated Address Arabic translation
Wed Dec 28 09:08:51 AST 2016 , 7848, NGI_TranscriptsAndLettersUOBService, Venkat, 1.Updated Language
Wed Dec 28 09:23:11 AST 2016 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, New Properties added for smtp port and fromEmail
Wed Dec 28 09:24:59 AST 2016 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, New Properties added for smtp port and fromEmail
Wed Dec 28 13:31:34 AST 2016 , 7854, CSBJobPosting, Thiyan, Removed logging of huge objects.
Wed Dec 28 13:38:46 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, Update backend wsdl to include new field 'ConcernedProsecutionCPR' in ValidateCase respone and request. 2. Added and implemented new field 'ConcernedProsecutionCPR' in NGI wsdl in ValidateCaseDetails response object and SubmitApplicationDetails request object
Wed Dec 28 14:52:28 AST 2016 , 7848, NGI_PublicProsecutionService, Uma, Added new fields ConcernedProsecutionNameArabic & ConcernedProsecutionNameEnglish in SubmitApplicationDetails method request object
Wed Dec 28 16:30:53 AST 2016 , 7848, NGI_TranscriptsAndLettersUOBService, Venkat, 1.Updated No of copies for English/Arabic
Thu Dec 29 08:30:04 AST 2016 , 7848, NGI_SCAPPOINTMENT_SERVICE, Akram, add new error code to bookClearingAgentAppointment response SCA-0037
Thu Dec 29 09:45:55 AST 2016 , 7848, NGI_TranscriptsAndLettersUOBService, Venkat, 1.Updated No of copies for English/Arabic
Thu Dec 29 10:34:04 AST 2016 , 7848, NGI_SCAPPOINTMENT_SERVICE, Akram, add new error code to bookClearingAgentAppointment response SCA-0037
Thu Dec 29 11:42:35 AST 2016 , 7848, NGI-EWASMReadingV2, Thiyan, Remove existing BPEL wrapper before deployment. It will conflict.All WPS logics migrated to MB code and added a supply address param for Quick submit reading requirement.
Thu Dec 29 11:49:57 AST 2016 , 7848, NGI_VivaPrepaidTopup, Akram, Logger Name Updated
Thu Dec 29 11:52:19 AST 2016 , 7848, NGI_VivaPrepaidTopup, Akram, Logger Name Updated
Thu Dec 29 11:59:28 AST 2016 , 7848, NGI-EWASMReadingV2, Thiyan, Remove existing BPEL wrapper before deployment. It will conflict.All WPS logics migrated to MB code and added a supply address param for Quick submit reading requirement.
Thu Dec 29 12:24:40 AST 2016 , 7848, NGI-EWASMReadingV2, Thiyan, Remove existing BPEL wrapper before deployment. It will conflict.All WPS logics migrated to MB code and added a supply address param for Quick submit reading requirement.
Thu Dec 29 12:31:42 AST 2016 , 7848, NGI_VivaPrepaidTopup, Akram, Logger Name Updated
Thu Dec 29 12:43:31 AST 2016 , 7848, NGI_VivaPrepaidTopup, Akram, Logger Name Updated
Thu Dec 29 12:48:31 AST 2016 , 7848, NGI_VivaPrepaidTopup, Akram, Logger Name Updated
Thu Dec 29 13:03:11 AST 2016 , 7848, NGI_VivaPrepaidTopup, Akram, Logger Name Updated
Thu Dec 29 15:18:19 AST 2016 , 7848, NGI-DrivingSchool, Sudhakar, new service . initial draft
Thu Dec 29 15:37:52 AST 2016 , 7848, NGI-EWASMReadingV2, Thiyan, Look up methods added
Thu Dec 29 16:13:56 AST 2016 , 7854, NGI-EWASMReadingV2, Thiyan, Remove existing BPEL wrapper before deployment. It will conflict.All WPS logics migrated to MB code and added a supply address param for Quick submit reading requirement.
Mon Jan 2 11:56:01 AST 2017 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, 1.Updated the BKIC username and password
Mon Jan 2 13:21:14 AST 2017 , 7848, NGI_SCAPPOINTMENT_SERVICE, Akram, bug fix - Exe Grp Shutdown
Mon Jan 2 14:52:40 AST 2017 , 7848, NGI_SCAPPOINTMENT_SERVICE, Akram, bug fix - Exe Grp Shutdown
Tue Jan 3 09:46:13 AST 2017 , 7848, NGI_VivaPrepaidTopup, Akram, Fix Logging issue
Tue Jan 3 11:33:38 AST 2017 , 7848, NGI_PublicProsecutionService, Uma, Updated ministry wsdl to include new fields. 2. Added new fields ConcernedProsecutorCPR, ConcernedProsecutorNameEnglish, ConcernedProsecutorNameArabic in .ValidateCaseDetails. response object.                3. Added new fields ConcernedProsecutorCPR, ConcernedProsecutorNameEnglish, ConcernedProsecutorNameArabic in .SubmitApplicationDetails. request onject
Tue Jan 3 15:04:01 AST 2017 , 7848, NGI_VivaPrepaidTopup, Akram, New error code has been added by VIVA error code is 2053
Tue Jan 3 15:10:23 AST 2017 , 7848, NGI_PublicProsecutionService, Uma, Updated ministry wsdl to include new fields. 2. Added new fields ConcernedProsecutorCPR, ConcernedProsecutorNameEnglish, ConcernedProsecutorNameArabic in ValidateCaseDetails response object.  3. Added new fields ConcernedProsecutorCPR, ConcernedProsecutorNameEnglish, ConcernedProsecutorNameArabic in SubmitApplicationDetails request object
Tue Jan 3 15:39:40 AST 2017 , 7848, NGI_PublicProsecutionService, Uma, Updated ministry wsdl to include new fields. 2. Added new fields ConcernedProsecutorCPR, ConcernedProsecutorNameEnglish, ConcernedProsecutorNameArabic in ValidateCaseDetails response object.  3. Added new fields ConcernedProsecutorCPR, ConcernedProsecutorNameEnglish, ConcernedProsecutorNameArabic in SubmitApplicationDetails request object
Wed Jan 4 08:57:43 AST 2017 , 7848, NGI_PublicProsecutionService, Uma, Added new field .ConcernedProsecutionID. in ValidateCaseDetails response object
Wed Jan 4 10:36:41 AST 2017 , 7848, NGI_VivaPrepaidTopup, Akram, fix receipt number issue
Wed Jan 4 13:21:47 AST 2017 , 7848, NGI_PublicProsecutionService, Uma, Updated ministry wsdl to include new fields in SubmitPOAApplication & ValidatePOA methods. 2. Added new fields ConcernedProsecutionID, ConcernedProsecutionNameEnglish, ConcernedProsecutionNameArabic, ConcernedProsecutorCPR, ConcernedProsecutorNameEnglish, ConcernedProsecutorNameArabic in SubmitPowerOfAttorneyDetails request object and FetchPowerOfAttorneyDetails response object
Wed Jan 4 13:42:50 AST 2017 , 7848, NGI_VivaPrepaidTopup, Akram, fix receipt number issue
Wed Jan 4 14:54:53 AST 2017 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft .Updated with new error code .071..
Thu Jan 5 10:57:26 AST 2017 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Updated the error message
Thu Jan 5 11:04:48 AST 2017 , 7848, NGI-DrivingSchool, Sudhakar, Initial draft . date format changes
Thu Jan 5 11:20:07 AST 2017 , 7848, NGI-EWASMReadingV2, Thiyan, Added .mbtest for 2 methods. Just cosmetic. No major bugs or issues fixed
Thu Jan 5 11:20:49 AST 2017 , 7854, NGI-EWASMReadingV2, Thiyan, Added .mbtest for 2 methods. Just cosmetic. No major bugs or issues fixed
Thu Jan 5 11:44:39 AST 2017 , 7848, NGI_PublicProsecutionService, Uma, Updated ministry wsdl. 2. Added new field .IsLawyer. in LKUPRequestTypes request, Removed .DocumentTypeID. and .FileType. in UploadAttachment request, Removed .Penalty. and  .AttachmentTypeID. in <AttachmentDetails> object in SubmitApplicationDetails request.
Thu Jan 5 12:41:32 AST 2017 , 7848, NGI-DrivingSchool, Sudhakar, Initial draft . Validations fixes on .ValidateAndFetchApplicantDetails.
Thu Jan 5 14:52:23 AST 2017 , 7854, Sehati, Thiyan, URL updated
Thu Jan 5 15:30:47 AST 2017 , 7854, Sehati, Thiyan, Error code misspelled was corrected
Thu Jan 5 15:51:24 AST 2017 , 7856, NGI-EWABPELWrapper, Uma, Filtered few fields for KIOSK
Thu Jan 5 16:21:17 AST 2017 , 7848, NGI-DrivingSchool, Sudhakar, Initial draft . error handling
Thu Jan 5 16:23:03 AST 2017 , 7854, Sehati, Thiyan, Backend error appended to status message field
Sun Jan 8 09:06:31 AST 2017 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft .Handled empty values from channel by using fieldvalue 
Sun Jan 8 12:53:23 AST 2017 , 7848, NGI_PublicProsecutionService, Uma, Updated ministry wsdl for the backend changes. Fixed an issue in assigning an element to backend service in SubmitApplicationDetails method
Sun Jan 8 13:04:08 AST 2017 , 7848, NGI_PublicProsecutionService, Uma, Updated ministry wsdl for the backend changes. Fixed an issue in assigning an element to backend service in SubmitApplicationDetails method
Sun Jan 8 14:56:31 AST 2017 , 7848, NGI_PublicProsecutionService, Uma, Updated ministry wsdl to include new fields. Added new fields CaseTypeEnglish, CaseTypeArabic in ValiadteCaseDetails response and SubmitApplicationDetails request object
Sun Jan 8 14:58:48 AST 2017 , 7848, NGI_PublicProsecutionService, Uma, Updated ministry wsdl to include new fields. Added new fields CaseTypeEnglish, CaseTypeArabic in ValiadteCaseDetails response and SubmitApplicationDetails request object
Wed Jan 11 11:37:59 AST 2017 , 7854, Sehati, Thiyan, Handled status code shared by backend. Rearranged WSDL parameters as per SRD
Wed Jan 11 12:10:35 AST 2017 , 7854, Sehati, Thiyan, Last donate date format handled
Thu Jan 12 10:20:23 AST 2017 , 7854, Sehati, Thiyan, WSDL cosmetic changes and test date format changed
Thu Jan 12 12:59:25 AST 2017 , 7854, NGI-EWASMReadingV2, Thiyan, WSDL bindng issue resolved. Added ministry URL to be logged for each method
Thu Jan 12 13:00:24 AST 2017 , 7848, NGI-EWASMReadingV2, Thiyan, WSDL bindng issue resolved. Added ministry URL to be logged for each method
Sun Jan 15 08:15:05 AST 2017 , 7848, NGI-EWASMReadingV2, Thiyan, Look up response wsdl issue fixed
Sun Jan 15 08:16:03 AST 2017 , 7854, NGI-EWASMReadingV2, Thiyan, Look up response wsdl issue fixed
Sun Jan 15 09:13:14 AST 2017 , 7848, NGI_SCAPPOINTMENT_SERVICE, Akram, Update DeleteClearingAgentAppointment and  DeleteAppointment methods with SCA-0038 error code
Sun Jan 15 10:56:04 AST 2017 , 7848, NGI-EWASMReadingV2, Thiyan, Look up response declared as array
Sun Jan 15 10:58:00 AST 2017 , 7854, NGI-EWASMReadingV2, Thiyan, Look up response declared as array
Tue Jan 17 09:21:28 AST 2017 , 7848, NGI-SmartCardApplication, Sudhakar, Initial draft .Updated with new error code .070.
Tue Jan 17 11:37:22 AST 2017 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Email subject text made dynamic as per lang value. Append the below key value pairs in .properties file
Tue Jan 17 11:40:09 AST 2017 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Email subject text made dynamic as per lang value. Append the below key value pairs in .properties file
Wed Jan 18 12:17:10 AST 2017 , 7845, NGI_CPRValidateService, Venkat, Updated the java files(ConvertIBM420ToUTF8) for CSO018 service
Wed Jan 18 14:37:00 AST 2017 , 7854, CSBJobPosting, Thiyan, Added CPR in DownloadAttachment method by backend for security purposes. Accomadated the same in NGI
Wed Jan 18 15:19:35 AST 2017 , 7854, CSBJobPosting, Thiyan, Ministry URL logged
Thu Jan 19 12:18:05 AST 2017 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Change egovmail@ega.gov.bh to egovmail@iga.gov.bh
Thu Jan 19 12:18:58 AST 2017 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Change egovmail@ega.gov.bh to egovmail@iga.gov.bh
Thu Jan 19 15:39:48 AST 2017 , 7854, NGI_EWAGoEbillService, Venkat, Updated the email id from .egovmail@ega.gov.bh. to egovmail@iga.gov.bh
Thu Jan 19 15:41:15 AST 2017 , 7848, NGI_EWAGoEbillService, Venkat, Updated the email id from .egovmail@ega.gov.bh. to egovmail@iga.gov.bh
Thu Jan 19 16:12:50 AST 2017 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Backend Removed CountryFlag and added below BahrainMissionID , ForeignMissionID fields in get VISA response. Backend Added  MissionDescriptionEN , MissionDescriptionAR  fields in get Bahrain Missions response. Accomadated the changes in NGI WSDL too
Thu Jan 19 16:14:03 AST 2017 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Backend Removed CountryFlag and added below BahrainMissionID , ForeignMissionID fields in get VISA response. Backend Added  MissionDescriptionEN , MissionDescriptionAR  fields in get Bahrain Missions response. Accomadated the changes in NGI WSDL too
Thu Jan 19 16:20:39 AST 2017 , 7854, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Backend Removed CountryFlag and added below BahrainMissionID , ForeignMissionID fields in get VISA response. Backend Added  MissionDescriptionEN , MissionDescriptionAR  fields in get Bahrain Missions response. Accomadated the changes in NGI WSDL too
Thu Jan 19 16:21:46 AST 2017 , 7848, NGI-eRegisterServiceBPEL_HTTPS_V2, Thiyan, Backend Removed CountryFlag and added below BahrainMissionID , ForeignMissionID fields in get VISA response. Backend Added  MissionDescriptionEN , MissionDescriptionAR  fields in get Bahrain Missions response. Accomadated the changes in NGI WSDL too
